,,,Other Required:,"Roll, None",,,,,
TRUE,Cascade Kingdom: Our First Power Moon,"Coin Coffer, Tank, Hammer Bro, Chargin' Chuck, Chain Chomp, Dino, Bullet Bill",Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,Capture,,,,,
TRUE,Cascade Kingdom: Multi Moon Atop the Falls,Chain Chomp,Minimum Jump Height:,No Jump Needed,No Jump Needed,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw","Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,
,,,Other Required:,"Capture, 2D Jump (any jump)",Capture,,,,
TRUE,Cascade Kingdom: Chomp Through the Rocks,"Chain Chomp, Dino, Tank, Coin Coffer, Bullet Bill, Hammer Bro, Chargin' Chuck",Minimum Jump Height:,Long Jump,No Jump Needed,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw","Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,
,,,Other Required:,Capture,"Bonk (Roll), Roll, Capture",,,,
TRUE,Cascade Kingdom: Behind the Waterfall,,Minimum Jump Height:,,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,2D Jump (any jump),,,,,
TRUE,Cascade Kingdom: On Top of the Rubble,,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Cascade Kingdom: Treasure of the Waterfall Basin,,Minimum Jump Height:,Long Jump,Single Jump (258),Long Jump,,,
,,,Cap Throws that work:,No Cap Throw Needed,No Cap Throw Needed,No Cap Throw Needed,,,
,,,Other Required:,None,Ground Pound,Roll,,,
TRUE,Cascade Kingdom: Above a High Cliff,,Minimum Jump Height:,Long Jump,No Jump Needed,,,,
,,,Cap Throws that work:,No Cap Throw Needed,No Cap Throw Needed,,,,
,,,Other Required:,None,Dive,,,,
TRUE,Cascade Kingdom: Across the Floating Isles,,Minimum Jump Height:,Long Jump,No Jump Needed,,,,
,,,Cap Throws that work:,No Cap Throw Needed,"Up Throw, Neutral Throw, Down Throw, Spin Throw",,,,
,,,Other Required:,None,Dive,,,,
TRUE,Cascade Kingdom: Cascade Kingdom Timer Challenge 1,,Minimum Jump Height:,Long Jump,No Jump Needed,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw","Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,
,,,Other Required:,None,Dive,,,,
TRUE,Cascade Kingdom: Cascade Kingdom Timer Challenge 2,,Minimum Jump Height:,Backflip/Vault/Side Flip (496),Long Jump,Long Jump,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,None,,,,,
TRUE,"Cascade Kingdom: Good Morning, Captain Toad!",,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,Neutral Throw,,,,,
,,,Other Required:,"Dive, Capture",,,,,
TRUE,Dinosaur Nest: Dinosaur Nest: Big Cleanup!,Dino,Minimum Jump Height:,,,Long Jump,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw","Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,
,,,Other Required:,Capture,Capture,,,,
TRUE,Dinosaur Nest: Dinosaur Nest: Running Wild!,Dino,Minimum Jump Height:,,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,Capture,,,,,
TRUE,Nice Shots with Chain Chomps: Nice Shot with the Chain Chomp!,Chain Chomp,Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,Capture,,,,,
TRUE,Nice Shots with Chain Chomps: Very Nice Shot with the Chain Chomp!,Chain Chomp,Minimum Jump Height:,Single Jump (258),,,,,IF EXIT SPAWN: only Chomp capture and low jump required
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,Capture,,,,,
TRUE,8-Bit Chasm Lifts: Past the Chasm Lifts,,Minimum Jump Height:,Single Jump (258),,,,,IF EXIT SPAWN: Both moons are possible with single jump only
,,,Cap Throws that work:,Neutral Throw,,,,,
,,,Other Required:,None,,,,,
TRUE,8-Bit Chasm Lifts: Hidden Chasm Passage,,Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,Neutral Throw,,,,,
,,,Other Required:,None,,,,,
TRUE,Cascade Kingdom: Secret Path to Fossil Falls!,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,Other Kingdom Trigger,,,,,
TRUE,Cascade Kingdom: A Tourist in the Cascade Kingdom,,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,Other Kingdom Trigger,,,,,
TRUE,Cascade Kingdom: Rolling Rock by the Falls,,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Cascade Kingdom: Peach in the Cascade Kingdom,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,Other Kingdom Trigger,,,,,
TRUE,Cascade Kingdom: Cascade Kingdom Regular Cup,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Cascade Kingdom: Caveman Cave-Fan,,Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,Outfit,,,,,
TRUE,Cascade Kingdom: Shopping in Fossil Falls,,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Cascade Kingdom: Sphynx Traveling to the Waterfall,Locked behind Default Capture,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,Capture,,,,,
TRUE,Cascade Kingdom: Bottom of the Waterfall Basin,,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,Ground Pound,,,,,
TRUE,"Cascade Kingdom: Just a Hat, Skip, and a Jump",,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,None,,,,,
TRUE,Cascade Kingdom: Treasure Under the Cliff,,Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,None,,,,,
TRUE,Cascade Kingdom: Next to the Stone Arch,,Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Cascade Kingdom: Guarded by a Colossal Fossil,,Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,"Neutral Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,None,,,,,
TRUE,Cascade Kingdom: Under the Old Electrical Pole,"Dino, Tank, Coin Coffer, Hammer Bro, Chargin' Chuck, Chain Chomp, Bullet Bill",Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,"Capture, Ground Pound",,,,,
TRUE,Cascade Kingdom: Under the Ground,"Dino, Tank, Coin Coffer, Hammer Bro, Chargin' Chuck, Bullet Bill, Cheep-Cheep",Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,"Capture, Ground Pound",,,,,
TRUE,Cascade Kingdom: Inside the Busted Fossil,"Tank, Chain Chomp, Dino, Coin Coffer, Chargin' Chuck, Bullet Bill, Hammer Bro",Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,Capture,,,,,
TRUE,Cascade Kingdom: Caught Hopping at the Waterfall!,,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Cascade Kingdom: Taking Notes: Hurry Upward,,Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Cascade Kingdom: Cascade Kingdom Master Cup,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Mysterious Clouds: Across the Mysterious Clouds,,Minimum Jump Height:,Long Jump,Single Jump (258),,,,IF EXIT SPAWN: Moon is already spawned only low jump needed
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw","Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,
,,,Other Required:,Ledge Grab,None,,,,
TRUE,Mysterious Clouds: Atop a Wall Among the Clouds,,Minimum Jump Height:,Long Jump,Double Jump (312),,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw","Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,
,,,Other Required:,Ledge Grab,None,,,,
TRUE,Gusty Bridges: Across the Gusty Bridges,,Minimum Jump Height:,Long Jump,Single Jump (258),,,,"IF EXIT SPAWN: Moon is already spawned, other moon not possible from this spawn location"
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw","Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,
,,,Other Required:,Ledge Grab,None,,,,
TRUE,Gusty Bridges: Flying Far Away from Gusty Bridges,,Minimum Jump Height:,Long Jump,Single Jump (258),,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw","Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,
,,,Other Required:,Ledge Grab,None,,,,
TRUE,Sand Kingdom: Atop the Highest Tower,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,2D Jump (any jump),,,,,
TRUE,Sand Kingdom: Moon Shards in the Sand,,Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: Showdown on the Inverted Pyramid,"Paragoomba, Glydon, Shiverian, Parabones, Yoshi, Bullet Bill, Gushen",Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,2D jump (any jump),,,,,
TRUE,Deepest Underground: The Hole in the Desert,"Locked behind Default Capture, Paragoomba, Glydon, Gushen, Parabones",Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: Overlooking the Desert Town,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: Alcove in the Ruins,"Bullet Bill, Paragoomba, Glydon, Parabones",Minimum Jump Height:,Long Jump,No Jump Needed,,,,
,,,Cap Throws that work:,No Cap Throw Needed,No Cap Throw Needed,,,,
,,,Other Required:,Dive,Capture,,,,
TRUE,Sand Kingdom: On the Leaning Pillar,"Frog, Paragoomba, Glydon, Uproot, Shiverian, Gushen, Parabones, Bullet Bill",Minimum Jump Height:,Single Jump (258),Double Jump (312),,,,
,,,Cap Throws that work:,No Cap Throw Needed,Neutral Throw,,,,
,,,Other Required:,Capture,"Wall Jump, Dive",,,,
TRUE,Sand Kingdom: Hidden Room in the Flowing Sands,,Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: Secret of the Mural,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,2D jump (any jump),,,,,
TRUE,Sand Kingdom: Secret of the Inverted Mural,"Paragoomba, Glydon, Shiverian, Parabones, Yoshi, Bullet Bill, Gushen",Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,"2D jump (any jump), Capture",,,,,
TRUE,Sand Kingdom: On Top of the Stone Archway,"Bullet Bill, Gushen, Parabones, Paragoomba",Minimum Jump Height:,Single Jump (258),Single Jump (258),,,,
,,,Cap Throws that work:,Neutral Throw,No Cap Throw Needed,,,,
,,,Other Required:,"Wall Jump, Dive",Capture,,,,
TRUE,Sand Kingdom: From a Crate in the Ruins,,Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: On the Lone Pillar,"Bullet Bill, Paragoomba, Parabones",Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,Capture,,,,,
TRUE,Sand Kingdom: On the Statue's Tail,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Spin Throw, Down Throw",,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: Hang Your Hat on the Fountain,,Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: Where the Birds Gather,,Minimum Jump Height:,Long Jump,No Jump Needed,,,,
,,,Cap Throws that work:,No Cap Throw Needed,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,
,,,Other Required:,Ground Pound,Ground Pound,,,,
TRUE,Sand Kingdom: Top of a Dune,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,Ground Pound,,,,,
TRUE,Sand Kingdom: Lost in the Luggage,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,Ground Pound,,,,,
TRUE,Sand Kingdom: Bullet Bill Breakthrough,,Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: Inside a Block Is a Hard Place,,Minimum Jump Height:,Single Jump (258),,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: Bird Traveling the Desert,,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: Bird Traveling the Wastes,,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: The Lurker Under the Stone,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,Ground Pound,,,,,
TRUE,Sand Kingdom: The Treasure of Jaxi Ruins,,Minimum Jump Height:,Single Jump (258),Single Jump (258),,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",Neutral Throw,,,,
,,,Other Required:,"Capture, Wall Jump, Dive",Wall Jump,,,,
TRUE,Sand Kingdom: Desert Gardening: Plaza Seed,,Minimum Jump Height:,Long Jump,No Jump Needed,No Jump Needed,,,
,,,Cap Throws that work:,No Cap Throw Needed,"Neutral Throw, Up Throw, Down Throw, Spin Throw",No Cap Throw Needed,,,
,,,Other Required:,None,None,Roll,,,
TRUE,Sand Kingdom: Desert Gardening: Ruins Seed,,Minimum Jump Height:,Long Jump,No Jump Needed,No Jump Needed,,,
,,,Cap Throws that work:,No Cap Throw Needed,"Neutral Throw, Up Throw, Down Throw, Spin Throw",No Cap Throw Needed,,,
,,,Other Required:,None,None,Roll,,,
TRUE,Sand Kingdom: Desert Gardening: Seed on the Cliff,,Minimum Jump Height:,Long Jump,No Jump Needed,No Jump Needed,,,
,,,Cap Throws that work:,No Cap Throw Needed,"Neutral Throw, Up Throw, Down Throw, Spin Throw",No Cap Throw Needed,,,
,,,Other Required:,Wall Jump,None,Roll,,,
TRUE,Sand Kingdom: Sand Kingdom Timer Challenge 1,,Minimum Jump Height:,Double Jump (312),Single Jump (258),,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw","Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,
,,,Other Required:,Wall Jump,"Roll, Wall Jump",,,,
TRUE,Sand Kingdom: Sand Kingdom Timer Challenge 2,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: Sand Kingdom Timer Challenge 3,,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,Neutral Throw,,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: Found in the Sand! Good Dog!,,Minimum Jump Height:,Long Jump,No Jump Needed,,,,
,,,Cap Throws that work:,No Cap Throw Needed,No Cap Throw Needed,,,,
,,,Other Required:,Ground Pound,"Roll, Ground Pound",,,,
TRUE,Sand Kingdom: Taking Notes: Jump on the Palm,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,Climb,,,,,
TRUE,Sand Kingdom: Herding Sheep in the Dunes,,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Sand Kingdom: Fishing in the Oasis,Locked behind Default Capture,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,Capture,,,,,
TRUE,Sand Kingdom: Love in the Heart of the Desert,"Goomba, Paragoomba",Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,Capture,,,,,
TRUE,Sand Kingdom: Among the Five Cactuses,,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,Neutral Throw,,,,,
,,,Other Required:,None,,,,,
TRUE,"Sand Kingdom: You're Quite a Catch, Captain Toad!",Locked behind Default Capture,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,Capture,,,,,
TRUE,Sand Kingdom: Jaxi Reunion!,,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,"Sand Kingdom: Welcome Back, Jaxi!",,Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
